Euro Investment Grade Bond Index Fund

Date,NAV
"""21/10/2016""","""201.6960"""
"""20/10/2016""","""201.7563"""
"""19/10/2016""","""201.5801"""
"""18/10/2016""","""201.4615"""
"""17/10/2016""","""201.2654"""
"""14/10/2016""","""201.2167"""
"""13/10/2016""","""201.3691"""
"""12/10/2016""","""201.2068"""
"""11/10/2016""","""201.3693"""
"""10/10/2016""","""201.2742"""
"""07/10/2016""","""201.5479"""
"""06/10/2016""","""201.6920"""
"""05/10/2016""","""201.7248"""
"""04/10/2016""","""202.2794"""
"""03/10/2016""","""202.3053"""
"""30/09/2016""","""202.4468"""
"""29/09/2016""","""202.5298"""
"""28/09/2016""","""202.6710"""
"""27/09/2016""","""202.6526"""
"""26/09/2016""","""202.5230"""
"""23/09/2016""","""202.3577"""
"""22/09/2016""","""202.3856"""
"""21/09/2016""","""201.7323"""
"""20/09/2016""","""201.8817"""
"""19/09/2016""","""201.6576"""
"""16/09/2016""","""201.7519"""
"""15/09/2016""","""201.6015"""
"""14/09/2016""","""201.7383"""
"""13/09/2016""","""201.6942"""
"""12/09/2016""","""201.7093"""
"""09/09/2016""","""202.0637"""
"""08/09/2016""","""202.6128"""
"""07/09/2016""","""202.9949"""
"""06/09/2016""","""202.8077"""
"""05/09/2016""","""202.4202"""
"""02/09/2016""","""202.2191"""
"""01/09/2016""","""202.4048"""
"""31/08/2016""","""202.5577"""
"""30/08/2016""","""202.6208"""
"""29/08/2016""","""202.4816"""
"""26/08/2016""","""202.5329"""
"""25/08/2016""","""202.4038"""
"""24/08/2016""","""202.5118"""
"""23/08/2016""","""202.5401"""
"""22/08/2016""","""202.4489"""
"""19/08/2016""","""202.2001"""
"""18/08/2016""","""202.4186"""
"""17/08/2016""","""202.2180"""
"""16/08/2016""","""202.1110"""
"""15/08/2016""","""202.3212"""
"""12/08/2016""","""202.5752"""
"""11/08/2016""","""202.5060"""
"""10/08/2016""","""202.5710"""
"""09/08/2016""","""202.2901"""
"""08/08/2016""","""202.0783"""
"""05/08/2016""","""201.9834"""
"""04/08/2016""","""202.1204"""
"""03/08/2016""","""201.6089"""
"""02/08/2016""","""201.5988"""
"""01/08/2016""","""202.0175"""
"""29/07/2016""","""202.0433"""
"""28/07/2016""","""201.8101"""
"""27/07/2016""","""201.8081"""
