Global Stock Index Fund

Date,NAV
"""21/10/2016""","""19.6782"""
"""20/10/2016""","""19.6124"""
"""19/10/2016""","""19.5673"""
"""18/10/2016""","""19.4897"""
"""17/10/2016""","""19.3062"""
"""14/10/2016""","""19.3532"""
"""13/10/2016""","""19.2592"""
"""12/10/2016""","""19.3579"""
"""11/10/2016""","""19.3318"""
"""10/10/2016""","""19.3753"""
"""07/10/2016""","""19.2644"""
"""06/10/2016""","""19.3458"""
"""05/10/2016""","""19.3212"""
"""04/10/2016""","""19.3539"""
"""03/10/2016""","""19.3054"""
"""30/09/2016""","""19.3026"""
"""29/09/2016""","""19.2511"""
"""28/09/2016""","""19.3828"""
"""27/09/2016""","""19.2946"""
"""26/09/2016""","""19.1166"""
"""23/09/2016""","""19.3639"""
"""22/09/2016""","""19.4481"""
"""21/09/2016""","""19.4101"""
"""20/09/2016""","""19.1490"""
"""19/09/2016""","""19.1257"""
"""16/09/2016""","""19.0831"""
"""15/09/2016""","""19.0409"""
"""14/09/2016""","""18.8951"""
"""13/09/2016""","""18.9307"""
"""12/09/2016""","""19.1996"""
"""09/09/2016""","""19.1263"""
"""08/09/2016""","""19.4261"""
"""07/09/2016""","""19.5144"""
"""06/09/2016""","""19.5004"""
"""05/09/2016""","""19.5675"""
"""02/09/2016""","""19.5068"""
"""01/09/2016""","""19.3291"""
"""31/08/2016""","""19.3792"""
"""30/08/2016""","""19.3997"""
"""29/08/2016""","""19.3932"""
"""26/08/2016""","""19.2019"""
"""25/08/2016""","""19.2126"""
"""24/08/2016""","""19.3116"""
"""23/08/2016""","""19.2689"""
"""22/08/2016""","""19.1889"""
"""19/08/2016""","""19.1891"""
"""18/08/2016""","""19.2373"""
"""17/08/2016""","""19.2673"""
"""16/08/2016""","""19.2829"""
"""15/08/2016""","""19.4837"""
"""12/08/2016""","""19.4776"""
"""11/08/2016""","""19.4737"""
"""10/08/2016""","""19.3989"""
"""09/08/2016""","""19.4967"""
"""08/08/2016""","""19.4652"""
"""05/08/2016""","""19.4349"""
"""04/08/2016""","""19.2151"""
"""03/08/2016""","""19.1040"""
"""02/08/2016""","""19.0480"""
"""01/08/2016""","""19.2630"""
"""29/07/2016""","""19.2909"""
"""28/07/2016""","""19.3027"""
"""27/07/2016""","""19.4524"""
"""26/07/2016""","""19.4578"""
"""25/07/2016""","""19.4528"""
"""22/07/2016""","""19.4815"""
"""21/07/2016""","""19.4269"""
"""20/07/2016""","""19.4285"""
"""19/07/2016""","""19.3263"""
"""18/07/2016""","""19.2912"""
"""15/07/2016""","""19.2448"""
"""14/07/2016""","""19.2168"""
"""13/07/2016""","""19.1176"""
"""12/07/2016""","""19.1343"""
"""11/07/2016""","""19.0096"""
"""08/07/2016""","""18.8721"""
"""07/07/2016""","""18.5996"""
"""06/07/2016""","""18.5642"""
"""05/07/2016""","""18.5521"""
"""04/07/2016""","""18.6766"""
"""01/07/2016""","""18.6792"""
"""30/06/2016""","""18.6358"""
"""29/06/2016""","""18.4335"""
"""28/06/2016""","""18.1183"""
"""27/06/2016""","""17.9241"""
"""24/06/2016""","""18.0924"""
"""23/06/2016""","""18.6594"""
"""22/06/2016""","""18.5073"""
"""21/06/2016""","""18.5347"""
"""20/06/2016""","""18.3741"""
"""17/06/2016""","""18.2019"""
"""16/06/2016""","""18.2815"""
"""15/06/2016""","""18.1984"""
"""14/06/2016""","""18.2005"""
"""13/06/2016""","""18.2228"""
"""10/06/2016""","""18.4426"""
"""09/06/2016""","""18.6559"""
"""08/06/2016""","""18.6587"""
"""07/06/2016""","""18.6658"""
"""06/06/2016""","""18.5586"""
"""03/06/2016""","""18.5275"""
"""02/06/2016""","""18.7584"""
"""01/06/2016""","""18.7246"""
"""31/05/2016""","""18.8084"""
"""30/05/2016""","""18.8229"""
"""27/05/2016""","""18.8251"""
"""26/05/2016""","""18.6898"""
"""25/05/2016""","""18.7174"""
"""24/05/2016""","""18.5266"""
"""23/05/2016""","""18.2523"""
"""20/05/2016""","""18.2735"""
"""19/05/2016""","""18.1489"""
"""18/05/2016""","""18.1742"""
"""17/05/2016""","""18.0879"""
"""16/05/2016""","""18.1663"""
"""13/05/2016""","""18.0766"""
"""12/05/2016""","""18.0600"""
"""11/05/2016""","""18.0456"""
"""10/05/2016""","""18.1979"""
"""09/05/2016""","""17.9787"""
"""06/05/2016""","""17.9419"""
"""05/05/2016""","""17.9540"""
"""04/05/2016""","""17.8333"""
"""03/05/2016""","""17.9501"""
"""02/05/2016""","""18.1392"""
"""29/04/2016""","""18.1784"""
"""28/04/2016""","""18.4709"""
"""27/04/2016""","""18.5681"""
"""26/04/2016""","""18.5664"""
"""25/04/2016""","""18.5955"""
"""22/04/2016""","""18.6803"""
"""21/04/2016""","""18.6456"""
"""20/04/2016""","""18.6222"""
"""19/04/2016""","""18.5294"""
"""18/04/2016""","""18.4126"""
"""15/04/2016""","""18.4095"""
"""14/04/2016""","""18.4807"""
"""13/04/2016""","""18.3808"""
"""12/04/2016""","""17.9903"""
"""11/04/2016""","""17.7527"""
"""08/04/2016""","""17.8061"""
"""07/04/2016""","""17.7301"""
"""06/04/2016""","""17.8656"""
"""05/04/2016""","""17.6975"""
"""04/04/2016""","""17.9312"""
"""01/04/2016""","""17.9810"""
"""31/03/2016""","""17.9864"""
"""30/03/2016""","""18.1020"""
"""29/03/2016""","""18.1861"""
"""28/03/2016""","""18.0327"""
"""24/03/2016""","""18.0561"""
"""23/03/2016""","""18.1372"""
"""22/03/2016""","""18.1893"""
"""21/03/2016""","""18.1362"""
"""18/03/2016""","""18.1040"""
"""17/03/2016""","""18.0341"""
"""16/03/2016""","""18.1838"""
"""15/03/2016""","""18.0957"""
"""14/03/2016""","""18.1967"""
"""11/03/2016""","""18.0970"""
"""10/03/2016""","""17.7908"""
"""09/03/2016""","""18.0239"""
"""08/03/2016""","""17.8986"""
"""07/03/2016""","""18.1687"""
"""04/03/2016""","""18.1344"""
"""03/03/2016""","""18.1475"""
"""02/03/2016""","""18.1992"""
"""01/03/2016""","""17.9985"""
"""29/02/2016""","""17.6667"""
"""26/02/2016""","""17.6501"""
"""25/02/2016""","""17.4730"""
"""24/02/2016""","""17.2683"""
"""23/02/2016""","""17.3323"""
"""22/02/2016""","""17.5210"""
"""19/02/2016""","""17.1751"""
"""18/02/2016""","""17.2441"""
"""17/02/2016""","""17.1959"""
"""16/02/2016""","""16.9066"""
"""15/02/2016""","""16.7253"""
"""12/02/2016""","""16.3842"""
"""11/02/2016""","""16.0491"""
"""10/02/2016""","""16.4574"""
"""09/02/2016""","""16.3079"""
"""08/02/2016""","""16.6548"""
"""05/02/2016""","""16.9417"""
"""04/02/2016""","""17.1786"""
"""03/02/2016""","""17.2735"""
"""02/02/2016""","""17.4843"""
"""01/02/2016""","""17.8096"""
"""29/01/2016""","""17.8784"""
"""28/01/2016""","""17.3503"""
"""27/01/2016""","""17.4436"""
"""26/01/2016""","""17.5273"""
"""25/01/2016""","""17.3861"""
"""22/01/2016""","""17.5785"""
"""21/01/2016""","""17.1339"""
"""20/01/2016""","""16.9479"""
"""19/01/2016""","""17.2719"""
"""18/01/2016""","""17.2355"""
"""15/01/2016""","""17.1946"""
"""14/01/2016""","""17.6923"""
"""13/01/2016""","""17.6215"""
"""12/01/2016""","""17.8581"""
"""11/01/2016""","""17.7652"""
"""08/01/2016""","""17.7257"""
"""07/01/2016""","""18.0138"""
"""06/01/2016""","""18.5429"""
"""05/01/2016""","""18.8269"""
"""04/01/2016""","""18.6843"""
"""31/12/2015""","""18.9458"""
"""30/12/2015""","""19.0127"""
"""29/12/2015""","""19.1313"""
"""28/12/2015""","""18.8429"""
"""24/12/2015""","""18.9048"""
"""23/12/2015""","""19.0132"""
"""22/12/2015""","""18.6212"""
"""21/12/2015""","""18.5765"""
"""18/12/2015""","""18.6407"""
"""17/12/2015""","""18.9038"""
"""16/12/2015""","""18.8666"""
"""15/12/2015""","""18.6552"""
"""14/12/2015""","""18.3127"""
"""11/12/2015""","""18.4259"""
"""10/12/2015""","""18.8206"""
"""09/12/2015""","""18.7813"""
"""08/12/2015""","""19.0103"""
"""07/12/2015""","""19.2233"""
"""04/12/2015""","""19.2528"""
"""03/12/2015""","""19.1299"""
"""02/12/2015""","""19.8432"""
"""01/12/2015""","""19.9393"""
"""30/11/2015""","""19.8407"""
"""27/11/2015""","""19.8479"""
"""26/11/2015""","""19.8418"""
"""25/11/2015""","""19.8026"""
"""24/11/2015""","""19.7015"""
"""23/11/2015""","""19.7633"""
"""20/11/2015""","""19.7322"""
"""19/11/2015""","""19.5823"""
"""18/11/2015""","""19.6398"""
"""17/11/2015""","""19.4537"""
"""16/11/2015""","""19.2314"""
"""13/11/2015""","""19.0528"""
"""12/11/2015""","""19.2100"""
"""11/11/2015""","""19.4869"""
"""10/11/2015""","""19.5334"""
"""09/11/2015""","""19.4501"""
"""06/11/2015""","""19.6022"""
"""05/11/2015""","""19.4531"""
"""04/11/2015""","""19.4880"""
"""03/11/2015""","""19.3643"""
"""02/11/2015""","""19.1946"""
"""30/10/2015""","""19.0694"""
"""29/10/2015""","""19.2279"""
"""28/10/2015""","""19.1276"""
"""27/10/2015""","""18.9545"""
"""26/10/2015""","""19.0539"""
"""23/10/2015""","""19.1000"""
"""22/10/2015""","""18.6905"""
"""21/10/2015""","""18.1897"""
"""20/10/2015""","""18.2587"""
"""19/10/2015""","""18.3369"""
"""16/10/2015""","""18.2690"""
"""15/10/2015""","""18.1695"""
"""14/10/2015""","""17.8444"""
"""13/10/2015""","""18.0293"""
"""12/10/2015""","""18.1743"""
"""09/10/2015""","""18.1971"""
"""08/10/2015""","""18.2089"""
"""07/10/2015""","""18.1626"""
"""06/10/2015""","""17.9815"""
"""05/10/2015""","""18.0259"""
"""02/10/2015""","""17.5910"""
"""01/10/2015""","""17.4911"""
"""30/09/2015""","""17.4881"""
"""29/09/2015""","""17.0527"""
"""28/09/2015""","""17.1749"""
"""25/09/2015""","""17.5976"""
"""24/09/2015""","""17.3388"""
"""23/09/2015""","""17.6643"""
"""22/09/2015""","""17.7278"""
"""21/09/2015""","""17.9411"""
"""18/09/2015""","""17.6737"""
"""17/09/2015""","""18.0085"""
"""16/09/2015""","""18.0529"""
"""15/09/2015""","""17.8709"""
"""14/09/2015""","""17.6920"""
"""11/09/2015""","""17.7743"""
"""10/09/2015""","""17.8564"""
"""09/09/2015""","""17.9728"""
"""08/09/2015""","""17.9297"""
"""07/09/2015""","""17.6571"""
"""04/09/2015""","""17.6937"""
"""03/09/2015""","""18.0259"""
"""02/09/2015""","""17.7322"""
"""01/09/2015""","""17.5228"""
"""31/08/2015""","""18.0972"""
"""28/08/2015""","""18.2092"""
"""27/08/2015""","""18.1360"""
"""26/08/2015""","""17.4665"""
"""25/08/2015""","""17.1037"""
"""24/08/2015""","""16.9181"""
"""21/08/2015""","""17.9800"""
"""20/08/2015""","""18.6730"""
"""19/08/2015""","""19.2337"""
"""18/08/2015""","""19.4732"""
"""17/08/2015""","""19.4538"""
"""14/08/2015""","""19.3309"""
"""13/08/2015""","""19.2749"""
"""12/08/2015""","""19.1698"""
"""11/08/2015""","""19.4942"""
"""10/08/2015""","""19.8020"""
"""07/08/2015""","""19.6595"""
"""06/08/2015""","""19.7642"""
"""05/08/2015""","""19.9608"""
"""04/08/2015""","""19.7429"""
"""03/08/2015""","""19.7471"""
"""31/07/2015""","""19.6599"""
"""30/07/2015""","""19.8174"""
"""29/07/2015""","""19.6336"""
"""28/07/2015""","""19.4703"""
"""27/07/2015""","""19.2093"""
"""24/07/2015""","""19.5815"""
"""23/07/2015""","""19.7525"""
"""22/07/2015""","""19.9523"""
"""21/07/2015""","""20.0014"""
"""20/07/2015""","""20.1790"""
"""17/07/2015""","""20.1822"""
"""16/07/2015""","""20.1023"""
"""15/07/2015""","""19.8499"""
"""14/07/2015""","""19.7850"""
"""13/07/2015""","""19.6464"""
"""10/07/2015""","""19.1913"""
"""09/07/2015""","""19.1248"""
